"%s was added to your shopping cart.","%s został dodany do Twojego koszyka."
"%s was updated in your shopping cart.","%s został zaktualizowany w Twoim koszyku."
"* Required Fields","* wymagane pola"
"Add New Address","Dodaj nowy adres"
"Add New Condition","Dodaj nowy warunek"
"Add coupon code for shopping cart","Dodaj kod kuponu do koszyka "
"Add gift messages to shopping cart","Dodaj wiadomość prezentową do koszyka "
"Add product to shopping cart","Dodaj produkt do koszyka "
"Add product(s) to shopping cart","Dodaj produkt(y) do koszyka "
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"Additional Product Info","dodatkowe informacje o produkcie"
"Address","Adres"
"Address %s of %s","Adres %s z %s"
"After Adding a Product Redirect to Shopping Cart","Po dodaniu produktu przekieruj do koszyka"
"Allow Guest Checkout","Zezwól na zamówienia składane przez niezalogowanych"
"Already registered?","Masz już konto?"
"An error occurred in the process of payment","W procesie płatności wystąpił błąd"
"An error occurred while deleting this condition.","Wystąpił błąd podczas usuwania tego warunku."
"An error occurred while saving this condition.","Wystąpił błąd podczas zapisywania tego warunku."
"Apply Coupon","Zastosuj kupon"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
"Back","Powrót"
"Back to Billing Information","Wróć do informacji o płatności"
"Back to Select Addresses","Wróć do wyboru adresów"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Back to Shopping Cart","Wróć do koszyka"
"Based on your selection, you may be interested in the following items:","Biorąc pod uwagę Twój wybór, mogą cię interesować również następujące produkty:"
"Billing Address","Adres rozliczeniowy"
"Billing Information","Informacje rozliczeniowe"
"Billing Information - %s","Informacje o płatności - %s"
"Cancel Coupon","Anuluj kupon"
"Cannot add item to the shopping cart.","Nie można dodać produktu do koszyka."
"Cannot add the item to shopping cart","Nie można dodać produktu do koszyka"
"Cannot add the item to shopping cart.","Nie można dodać produktu do koszyka."
"Cannot apply the coupon code.","Nie można zastosować kodu z kuponu."
"Cannot configure product.","Nie można skonfigurować produktu."
"Cannot open the overview page","Nie można otworzyć strony z przeglądem"
"Cannot process the item.","Nie można przetworzyć elementu."
"Cannot remove the item.","Nie można usunąć produktu."
"Cannot update shopping cart.","Nie można zaktualizować koszyka."
"Cannot update the item.","Nie można zaktualizować produktu."
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Cart Product API","API koszyka"
"Cart Subtotal:","Suma częściowa w koszyku:"
"Change","Zmień"
"Change Billing Address","Zmień adres rozliczeniowy"
"Checkbox Text","Tekst pola do zaznaczenia"
"Checkout","Zamówienie"
"Checkout Conditions","Warunki zamówienia"
"Checkout Method","Metoda zamówienia"
"Checkout Options","Opcje zamówienia"
"Checkout Progress Wrapper","Wrapper postępu zamówienia"
"Checkout Section","Sekcja zamówienia"
"Checkout Terms and Conditions","Warunki składania zamówienia"
"Checkout as Guest","Złóż zamówienie bez zakładania konta"
"Checkout as a Guest or Register","Złóż zamówienie jako gość lub załóż konto"
"Checkout with Multiple Addresses","Zamówienie z wieloma adresami"
"City","Miasto"
"Clear Shopping Cart","Opróżnij koszyk"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Kliknij <a href=""%s"" onclick=""this.target=\'_blank\'"">tu aby wydrukować</a> kopię potwierdzenia złożenia zamówienia."
"Click <a href=""%s"">here</a> to continue shopping.","Kliknij <a href=""%s"">tutaj, aby kontynuować zakupy</a>."
"Close","Zamknij"
"Company","Firma"
"Condition Name","Nazwa warunku"
"Configurable Product Image","Obrazek konfigurowalnego produktu"
"Configure Cart Item","Konfiguruj element koszyka"
"Confirm Password","Potwierdź hasło"
"Content","Zawartość"
"Content Height","Wysokość zawartości"
"Content Height (css)","Wysokość zawartości (css)"
"Continue","Kontynuuj"
"Continue Shopping","Kontynuuj zakupy"
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Continue to Review Your Order","Kontynuuj, aby przejrzeć swoje zamówienie"
"Continue to Shipping Information","Przejdź do informacji o dostawie"
"Country","Kraj"
"Coupon code ""%s"" is not valid.","""%s"" nie jest prawidłowym kodem kuponu."
"Coupon code ""%s"" was applied.","Kod ""%s"" został zastosowany."
"Coupon code was canceled.","Kod kuponu został anulowany."
"Create Billing Address","Utwórz adres rozliczeniowy"
"Create Shipping Address","Utwórz adres dostawy"
"Create an order from shopping cart","Utwórz zamówienie na podstawie koszyka"
"Create shopping cart","Utwórz koszyk"
"Customer Address is not valid.","Adres klienta jest niepoprawny."
"Customer Information","Informacje o kliencie"
"Customer's information","Informacje o kliencie"
"Data saving problem","Problem podczas zapisywania danych"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Delete Condition","Usuń warunek"
"Details","Szczegóły"
"Disabled","Wyłączone"
"Discount Codes","Kody rabatowe"
"Display Cart Summary","Wyświetl podsumowanie koszyka"
"Display Shopping Cart Sidebar","Wyświetlaj koszyk w pasku bocznym"
"Display item quantities","Wyświetlaj ilości produktów"
"Display number of items in cart","Wyświetlaj ilość produktów w koszyku"
"Display number of items in wishlist","Wyświetlaj ilość produktów w schowku"
"Easy access to your order history and status","Za pośrednictwem swojego konta możesz na bieżąco śledzić etapy realizacji zamówienia"
"Edit","Edytuj"
"Edit Address","Edytuj adres"
"Edit Billing Address","Edycja adresu rozliczeniowego"
"Edit Condition","Edytuj warunek"
"Edit Items","Edytuj produkty"
"Edit Shipping Address","Edytuj adres dostawy"
"Edit Terms and Conditions","Edytuj warunki składania zamówienia"
"Edit Your Cart","Edytuj koszyk"
"Edit item","Edytuj element"
"Edit item parameters","Edytuj parametry elementu"
"Email Address","Adres e-mail"
"Enable Onepage Checkout","Włącz składanie zamówienia na jednej stronie"
"Enable Terms and Conditions","Włącz warunki sprzedaży"
"Enabled","Włączone"
"Enter a New Address","Dodaj nowy adres"
"Enter your coupon code if you have one.","Wpisz kod kuponu rabatowego, jeżeli masz jakiś."
"Enter your destination to get a shipping estimate.","Wpisz miejsce docelowe, aby sprawdzić koszt dostawy."
"Estimate Shipping and Tax","Koszt dostawy i podatku"
"Excl. Tax","Bez podatku"
"Fast and easy check out","W przyszłości nie musisz wypełniać forumlarzy"
"Fax","Faks"
"Forgot an Item?","Zapomniałeś dodać produkt?"
"Forgot your password?","Nie pamiętasz hasła?"
"Get a Quote","Otrzymaj wycenę"
"Get list of available payment methods","Pobierz listę dostępnym metod płatności"
"Get list of available shipping methods","Pobierz listę dostępnym metod dostawy"
"Get list of products in shopping cart","Pobierz listę produktów z koszyka"
"Get terms and conditions","Pobierz warunki składania zamówienia"
"Get total prices for shopping cart","Pobierz łączne sumy z koszyka"
"Gift Message","Wiadomość prezentowa"
"Grand Total:","Łącznie:"
"Grouped Product Image","Obrazek grupowanego produktu"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Z podatkiem"
"Invalid checkout type.","Nieprawidłowy typ zamówienia."
"Invalid data.","Nieprawidłowe dane."
"Invalid email address ""%s""","Niepoprawny adres e-mail ""%s"""
"Invalid method: %s","Nieprawidłowa metoda: %s"
"Invalid shipping method.","Nieprawidłowa metoda dostawy."
"Item not found or already ordered","Produkt nie został znaleziony lub jest już zamówieony"
"Items","Elementy"
"Items After","Elementy po"
"Items Before","Elelemnty przed"
"Load customer quote error","Błąd wczytywania zapytania klienta"
"Loading next step...","Ładowanie kolejnego kroku..."
"Login","Logowanie"
"Login/Registration Before","Przed logowaniem/rejestracją"
"Manage Terms and Conditions","Zarządzaj warunkami składania zamówienia"
"Maximum Display Recently Added Item(s)","Maksymalna ilość wyświetlanych ostatnio dodanych produktów"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksymalna ilość produktów, którą można dostarczyć do różnych adresów to %s"
"Minimum order amount is %s","Minimalna wielkość zamówienia to %s"
"Move","Przenieś"
"Move to Wishlist","Przenieś do schowka"
"Multishipping Checkout","Zamówienie z wieloma dostawami"
"Multishipping Checkout Address (Any) Form","Formularz adresu (dowolnego) zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Address Creation","Tworzenie adresu rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Address Edit Form","Formularz edycji adresu rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Address Selection","Wybór adresu rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Information Step","Krok informacji o płatności zamówienia z wieloma dostawami"
"Multishipping Checkout Customer Address Edit Form","Formularz edycji adresu klienta rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Overview","Przegląd zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Address Creation","Tworzenie adresu dostawy zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Address Edit Form","Formularz edycji adresu dostawy zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Address Selection","Wybór adresu dostawy zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Information Step","Krok informacji o dostawie zamówienia z wieloma dostawami"
"Multishipping Checkout Success","Zamówienie z wieloma dostawami zostało przyjęte"
"My Cart","Mój koszyk"
"My Cart (%s item)","Koszyk (%s)"
"My Cart (%s items)","Koszyk (%s)"
"My Cart Extra Actions","Dodatkowe akcje koszyka"
"My Cart Link","Link do mojego koszyka"
"New Address","Nowy adres"
"New Condition","Nowy warunek"
"New Terms and Conditions","Nowe warunki składania zamówienia"
"No Payment Methods","Brak metod płatności"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ŁĄCZNA KWOTA KOSZYKA BĘDZIE WYŚWIETLONA ZANIM ZŁOŻYSZ ZAMÓWIENIE"
"One Page Checkout","Zamówienie na jednej stronie"
"One Page Checkout Failure","Niepowodzenie zamówienia"
"One Page Checkout Overview","Przegląd zamówienia"
"One Page Checkout Success","Sukces zamówienia"
"One item of products do not have identifier or sku","Jedna sztuka produktu nie ma identyfikatora lub sku"
"One item of products is not belong any of quote item","Jedna sztuka produktu nie należy do elementów zamówienia"
"Order #","Zamówienie nr "
"Order Review","Podgląd zamówienia"
"Order Success","Zamówienie zostało przyjęte"
"Order place error.","Błąd składania zamówienia."
"Other Items in Your Order","Inne produkty w twoim zamówieniu"
"Overview Items After","Za elementami przeglądu"
"Password","Hasło"
"Payment Failed Email Reciever","Odbiorca e-maila o nieudanej płatności"
"Payment Failed Email Sender","Nadawca e-maila o nieudanej płatności"
"Payment Failed Emails","E-maile o nieudanej płatności"
"Payment Failed Template","Szablon e-maila nieudanej płatności"
"Payment Information","Informacje o płatności"
"Payment Method","Forma płatności"
"Payment Methods After Checkout Button","Metody płatności za przyciskiem zamówienia"
"Payment Methods Before Checkout Button","Metody płatności przed przyciskiem zamówienia"
"Payment method information","Informacje o metodzie płatności"
"Payment method is not defined","Metoda płatności nie została wybrana"
"Payment methods in shopping cart","Metody płatności w koszyku"
"Payment profile # %s: ""%s"".","Profil płatności nr %s: ""%s""."
"Place Order","Złóż zamówienie"
"Please agree to all Terms and Conditions before placing the order.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please agree to all Terms and Conditions before placing the orders.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please agree to all the terms and conditions before placing the order.","Proszę zatwierdzić warunki zamawiania przed jego złożeniem."
"Please check billing address information.","Proszę sprawdzić adres rozliczeniowy."
"Please check shipping address information.","Proszę sprawdzić adres dostawy."
"Please check shipping addresses information.","Proszę sprawdzić adres dostawy."
"Please choose to register or to checkout as a guest","Proszę o rejestrację lub złożenie zamówienia jako gość"
"Please log in below:","Skorzystaj z logowania jeżeli posiadasz już konto w naszym sklepie"
"Please select region, state or province","Wybierz województwo"
"Please select shipping address for applicable items","Wybierz adres dostawy dla odpowiednich produktów"
"Please select shipping methods for all addresses","Wybierz metody wysyłki dla wszystkich adresów"
"Please select valid payment method.","Wybierz prawidłową formę płatności."
"Please specify payment method.","Proszę o wybór metody płatności."
"Please specify shipping method.","Proszę o wybór metody dostawy."
"Please specify shipping methods for all addresses.","Proszę wybrać metody wysyłki dla wszystkich adresów."
"Price","Cena"
"Proceed to Checkout","Przejdź do kasy"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Products","Produkty"
"Qty","Ilość"
"Qty:","Ilość:"
"Quantity was recalculated from %d to %d","Ilość została przeliczona z %d do %d"
"Quote Lifetime (days)","Czas przechowywania zawartości koszyka (dni)"
"Quote item does not exist.","Element zapytania nie istnieje."
"Quote item is not found.","Element zapytanie nie został znaleziony."
"Recently added item(s)","Ostatnio dodane produkty"
"Register","Zarejestruj się"
"Register and save time!","Zakładając konto oszczędzasz swój czas!"
"Register to Create an Account","Zarejestruj się i utwórz konto"
"Register with us for future convenience:","Zarejestruj się, aby korzystać z ułatwień:"
"Remove Item","Usuń produkt"
"Remove This Item","Usuń ten produkt"
"Remove coupon code from shopping cart","Usuń kod kuponu z koszyka"
"Remove item","Usuń element"
"Remove product from shopping cart","Usuń produkt z koszyka"
"Remove product(s) from shopping cart","Usuń produkt(y) z koszyka"
"Require Customer To Be Logged In To Checkout","Wymaga zalogowania klienta do złożenia zamówienia"
"Retrieve information about shopping cart","Pobierz informację o koszyku"
"Review Order","Podgląd zamówienia"
"Review Order - %s","Podgląd zamówienia - %s"
"Sales","Sprzedaże"
"Save Condition","Zapisz warunki"
"Save in address book","Zapisz w książce adresowej"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Select Address","Wybierz adres"
"Select Addresses","Wybierz adresy"
"Select Shipping Method","Wybierz formę dostawy"
"Select State/Province...","Wybierz województwo..."
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub utwórz nowy adres."
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub wpisz nowy adres."
"Send Payment Failed Email Copy Method","Wyślij kopię e-maila o nieudanej płatności metodą"
"Send Payment Failed Email Copy To","Wyślij kopię e-maila o nieudanej płatności do"
"Send To","Wyślij do"
"Separate by "","".","Oddzielone za pomocą "",""."
"Set customer for shopping cart","Ustaw klienta dla koszyka"
"Set customer's addresses in shopping cart","Ustaw adres klienta w koszyku"
"Set payment method","Ustaw metodę płatności"
"Set shipping method","Ustaw metodę dostawy"
"Ship to Multiple Addresses","Dostawa do wielu adresów"
"Ship to different address","Dostawa pod inny adres"
"Ship to this address","Dostawa pod ten adres"
"Shipping Address","Adres dla dostawy"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Metoda dostawy"
"Shipping Methods","Formy dostawy"
"Shipping To","Dostawa do"
"Shipping information","Informacje o dostawie"
"Shipping method has not been selected yet","Nie wybrano jeszcze formy dostawy"
"Shipping methods in shopping cart","Metody dostawy w koszyku"
"Shipping selection is not applicable.","Wybór dostawy jest niedostępny."
"Shopping Cart","Koszyk"
"Shopping Cart Form Before","Przed formularzem koszyka"
"Shopping Cart Sidebar","Koszyk w pasku bocznym"
"Shopping Cart Sidebar Extra Actions","Dodatkowe operacja koszyka w pasku bocznym"
"Shopping Cart is Empty","Koszyk jest pusty"
"Shopping cart ability to set coupon code","Możliwość koszyka do ustawiania kodu kuponu"
"Show Content as","Pokaż zawartość jako"
"Some of the requested products are not available in the desired quantity.","Niektóre z wybranych produktów nie są dostępne we wskazanej ilości."
"Some of the requested products are unavailable.","Niektóre z wybranych produktów są niedostępne,"
"Some products quantities were recalculated because of quantity increment mismatch","Niektóre z ilości produktów zostały przeliczone ze względu na niezgodność z krokiem zwiększania."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Niestety, zamówienie bez rejestracji jest niedostępne. Spróbuj ponownie lub skontaktuj się z właścicielem sklepu."
"Sorry, no quotes are available for this order at this time.","Niestety, żadne możliwości nie są dostępne dla tego zamówienia w chwili obecnej."
"State/Province","Województwo:"
"Status","Status"
"Store View","Widok sklepu"
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Submitting order information...","Przetwarzanie zamówienia..."
"Subtotal","Suma częściowa"
"Subtotal must exceed minimum order amount","Suma częściowa musi przekroczyć minimalną wartość zamówienia"
"Telephone","Telefon"
"Terms and Conditions","Warunki składania zamówienia"
"Terms and Conditions Information","Informacja o warunkach składania zamówienia"
"Terms and conditions","Warunki składania zamówienia"
"Text","Tekst"
"Thank you for your purchase!","Dziękujemy za złożenie zamówienia!"
"The condition has been deleted","Warunek został usunięty"
"The condition has been saved.","Warunek został zapisany."
"The onepage checkout is disabled.","Składanie zamówienia na jednej stronie jest wyłączone."
"The product could not be found.","Produkt nie został znaleziony."
"The product does not exist.","Produkt nie istnieje."
"There are <a href=""%s"">%s items</a> in your cart.","W koszyku masz <a href=""%s"">%s produkt(y)</a>"
"There is <a href=""%s"">1 item</a> in your cart.","W koszyku masz<a href=""%s"">1 produkt</a>"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Istnieje już konto z takim adresem e-mail. Zaloguj się, używając tego adresu lub wpisz inny do rejestracji nowego konta."
"There was an error processing your order. Please contact us or try again later.","Wystąpił problem z przetwarzaniem zamówienia. Skontaktuj się z obsługa sklepu lub spróbuj później."
"This condition no longer exists.","Ten warunek już nie istnieje."
"Total","Razem"
"Total for this address","Łącznie dla tego adresu"
"Unable to set Payment Method.","Nie można ustawić metody płatności."
"Unit Price","Cena jednostkowa"
"Update Cart","Aktualizuj koszyk"
"Update Qty &amp; Addresses","Aktualizuj ilość i adresy"
"Update Shopping Cart","Aktualizuj koszyk"
"Update Total","Aktualizuj sumę"
"Update product quantities in shopping cart","Aktualizuj ilości produktów w koszyku"
"Update product(s) quantities in shopping cart","Aktualizuj ilośći produktów w koszyku"
"Use Billing Address","Użyj adresu rozliczeniowego"
"VAT Number","Numer NIP (VAT UE)"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Przetwarzamy twoje zamówienie, wkrótce otrzymasz e-mail z jego szczegółami. Po wysłaniu przesyłki otrzymasz e-mail potwierdzający z linkiem do śledzenia statusu zamówienia."
"What's this?","Co to jest?"
"You have no items in your shopping cart.","Nie masz produktów w koszyku."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz e-mail potwierdzający szczegóły zamówienia z linkiem do śledzenia jego postępu."
"Your Checkout Progress","Postęp realizacji zamówienia"
"Your billing agreement # is: %s.","Numer twojej umowy rozliczeniowej to: %s."
"Your order # is: %s.","Numer twojego zamówienia to: %s"
"Your order cannot be completed at this time as there is no payment methods available for it.","Twoje zamówienie nie może zostać zrealizowane, w chwili obecnej nie mamy dla niego odpowiedniej metody płatności."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Twoje zamówienie nie może zostać zrealizowane, w chwili obecnej nie mamy dla niego odpowiedniej metody dostawy. Proszę wprowadzić odpowiednie zmiany do swojego adresu dostawy."
"Your order has been received.","Zamówienie zostało przyjęte."
"Your order number is ","Numer twojego zamówienia to "
"Your recurring payment profiles:","Twoje profile okresowe płatności:"
"Zip/Postal Code","Kod pocztowy"
