" Copy","  Kopia"
"Action","Operacja"
"Add New Template","Dodaj nowy szablon"
"Add to Queue","Dodaj do kolejki"
"Allow Guest Subscription","Zezwól na subskrybowanie przez niezalogowanych"
"An error occurred while saving your subscription.","Wystąpił błąd podczas zapisywania subskrypcji."
"Are you sure that you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Are you sure that you want to strip all tags?","Czy na pewno chcesz usunąć wszystkie znaczniki?"
"Back","Powrót"
"Cancel","Anuluj"
"Cancelled","Anulowane"
"Cannot mark as received subscriber.","Nie można oznaczyć subskrybenta jako otrzymanego."
"Confirmation Email Sender","Nadawca wiadomości potwierdzenia"
"Confirmation Email Template","Szablon wiadomości potwierdzenia"
"Confirmation request has been sent.","Prośba o potwierdzenie została wysłana."
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Create Newsletter Template","Utwórz szablon newslettera"
"Customer","Klient"
"Customer First Name","Imię klienta"
"Customer Last Name","Nazwisko klienta"
"Customer My Account Newsletter Subscriptions","Konto klienta subskrycje newslettera"
"Date Added","Data dodania"
"Date Updated","Data aktualizacji"
"Delete","Usuń"
"Delete Selected Problems","Usuń zaznaczone problemy"
"Delete Template","Usuń szablon"
"Do you really want to cancel the queue?","Czy na pewno chcesz anulować kolejkę?"
"Duplicate template code.","Klonuj kod szablonu."
"Edit Newsletter","Edycja newslettera"
"Edit Newsletter Template","Edycja szablonu newslettera"
"Edit Queue","Edycja kolejki"
"Edit Template","Edycja szablonu"
"Email","E-mail"
"Enter your email address","Wprowadź swój adres e-mail"
"Error Code","Kod błędu"
"Error Text","Tekst błędu"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Użyj tego linku, aby <!-- tag do usunięcia subskrypcji  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}"
"Guest","Gość"
"ID","ID"
"Invalid queue selected.","Wybrano nieprawidłową kolejkę."
"Invalid subscription ID.","Błędne ID subskrybcji."
"Invalid subscription confirmation code.","Nieprawidłowy kod potwierdzający subskrypcję."
"Message","Wiadomość"
"Need to Confirm","Wymaga potwierdzenia"
"New Newsletter Template","Nowy szablon newslettera"
"New Template","Nowy szablon"
"Newsletter","Newsletter"
"Newsletter Message Preview","Podgląd newslettera"
"Newsletter Problem Reports","Raporty problemów z wysyłką newslettera"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Section","Sekcja newslettera"
"Newsletter Sign-up:","Zapisz się do Newslettera"
"Newsletter Styles","Style newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Subscription","Subskrypcja newslettera"
"Newsletter Subscription Form Before","Przed formularzem subskrypcji newslettera"
"Newsletter Subscriptions","Subskrypcje newslettera"
"Newsletter Templates","Szablony newslettera"
"Newsletter subscription confirmation","Potwierdzenie subskrypcji newslettera"
"Newsletter subscription success","Udana subskrypcja newslettera"
"Newsletter unsubscription success","Udane usunięcie subskrypcji newslettera"
"No Templates Found","Nie znaleziono szablonów"
"No problems found.","Nie znaleziono problemów"
"No subscribers selected.","Nie wybrano żadnych subskrybentów"
"Not Activated","Nieaktywny"
"Not Sent","Nie wysłane"
"Pause","Pauza"
"Paused","Zatrzymany"
"Please enter a valid email address.","Proszę wpisać poprawny adres e-mail"
"Please enter new template name","Podaj nową nazwę szablonu"
"Please refer to exeption.log","Zobacz doniesienie w logu wyjątków"
"Please select subscriber(s)","Wybierz subskrybentów"
"Preview","Podgląd"
"Preview Template","Podgląd szablonu"
"Processed","Przetworzona"
"Queue Date Start","Start kolejki"
"Queue Finish","Koniec kolejki"
"Queue Information","Informacje o kolejce"
"Queue Newsletter...","Kolejka newslettera..."
"Queue Start","Start kolejki"
"Queue Subject","Temat kolejki"
"Recipients","Odbiorcy"
"Reset","Resetuj"
"Resume","Wznów"
"Return HTML Version","Zwróć wersję HTML"
"Save As","Zapisz jako"
"Save Newsletter","Zapisz newsletter"
"Save Template","Zapisz szablon"
"Save and Resume","Zapisz i wznów"
"Selected problem subscribers have been unsubscribed.","Subskrybenci, dla których wystąpił zaznaczony problem zostali usunięci."
"Selected problems have been deleted.","Zaznaczone problemy zostały usunięte."
"Sender","Nadawca"
"Sender Email","E-mail nadawcy"
"Sender Name","Nazwa nadawcy"
"Sending","Wysyłanie"
"Sent","Wysłano"
"Sign Up for Our Newsletter:","Zapisz się do newslettera:"
"Sign up for our newsletter","Zapisz się do newslettera"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Niestety, administrator wyłączył subskrypcje dla gości. Proszę <a href=""%s"">zarejestrować się</a>."
"Start","Start"
"Status","Status"
"Store","Sklep"
"Store View","Widok sklepu"
"Subject","Temat"
"Submit","Wyślij"
"Subscribe","Zapisz się"
"Subscribed","Subskrypcje"
"Subscriber","Subskrybent"
"Subscribers","Subskrybenci"
"Subscribers From","Subskrybenci od"
"Subscription Options","Opcje subskrypcji"
"Success Email Sender","Nadawca wiadomości o powodzeniu"
"Success Email Template","Szablon wiadomości o powodzeniu"
"Template Content","Zawartość szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Styles","Style szablonu"
"Template Subject","Temat szablonu"
"Template Type","Typ szablonu"
"Thank you for your subscription.","Dziękujemy za twoją subskrypcję"
"The subscription has been removed.","Subskrypcja została usunięta."
"The subscription has been saved.","Subskrypcja została zapisana."
"There was a problem with the subscription.","Wystąpił problem z subskrypcją"
"There was a problem with the subscription: %s","Wystąpił problem z subskrypcją: %s"
"There was a problem with the un-subscription.","Wystąpił problem podczas usuwania subskrypcji."
"This email address is already assigned to another user.","Ten e-mail jest już przypisany do innego użytkownika."
"Type","Typ"
"Unconfirmed","Niepotwierdzony"
"Unsubscribe","Zrezygnuj"
"Unsubscribe Selected","Wypisz zaznaczonych"
"Unsubscribed","Usunięte subskrypcje"
"Unsubscription Email Sender","Nadawca wiadomości wypisującej"
"Unsubscription Email Template","Szablon wiadomości wypisującej"
"View Newsletter","Zobacz newsletter"
"Website","Witryna"
"You have been unsubscribed.","Twoja subskrypcja została usunięta."
"Your subscription has been confirmed.","Twoja subskrypcja została potwierdzona."
