"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","Reguła cenowa koszyka %d bazująca na cesze ""%s"" została wyłączona."
"%s Coupon(s) have been generated","%s kodów zostało wygenerowanych"
"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj nową regułę"
"Alphabetical","Alfabetycznie"
"Alphanumeric","Alfanumerycznie"
"An error occurred while generating coupons. Please review the log and try again.","Wystąpił błąd podczas generowania kuponów. Proszę przejrzeć logi i spróbować ponownie."
"Apply","Zastosuj"
"Apply To","Zastosuj do"
"Apply the rule only if the following conditions are met (leave blank for all products)","Zastosuj regułę tylko gdy następujące warunki są spełnione (pozostaw puste dla wszystkich produktów)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Zastosuj regułę do produktów w koszyku spełniających następujące warunki (pozostaw puste dla wszystkich produktów)"
"Apply the rule to cart items matching the following conditions","Zastosuj regułę do produktów w koszyku spełniających następujące warunki"
"Apply to Shipping Amount","Zastosuj do kosztu dostawy"
"Are you sure you want to delete the selected coupon(s)?","Czy na pewno chcesz usunąć wybrany kupon(y)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Automatycznie wygenerowane kody kuponów"
"Buy X get Y free (discount amount is Y)","Kup X dostań Y za darmo (zniżkową wartością jest Y)"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Can\'t acquire coupon.","Nie można pobrać kuponu."
"Cart Attribute","Cechy koszyka"
"Catalog","Katalog"
"Code Format","Format kodu"
"Code Length","Długość kodu"
"Code Prefix","Prefiks kodu"
"Code Suffix","Sufiks kodu"
"Conditions","Warunki"
"Conditions combination","Kombinacja warunków"
"Coupon","Kupon"
"Coupon Code","Kod kuponu"
"Coupon Qty","Ilość kodów"
"Coupon with the same code","Kupon z takim samym kodem"
"Coupons Information","Informacje kuponów"
"Created On","Utworzono"
"Customer Groups","Grupy klientów"
"Dash Every X Characters","Kreska co każde X znaków"
"Date Expire","Data wygaśnięcia"
"Date Start","Data rozpoczęcia"
"Default Label","Domyślna etykieta"
"Default Rule Label for All Store Views","Domyślna etykiet reguły dla wszystkich widoków sklepu"
"Description","Opis"
"Discount Amount","Wielkość zniżki"
"Discount Qty Step (Buy X)","Kroki ilości zniżek (kup X)"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Excluding prefix, suffix and separators.","Bez prefiksu, sufiksu i separatorów."
"FOUND","ZNALEZIONO"
"Fixed amount discount","Zniżka o stałej wartości"
"Fixed amount discount for whole cart","Stała wartość zniżki dla całego koszyka"
"For matching items only","Dla produktów spełniających kryteria"
"For shipment with matching items","Dla dostawy i produktów spełniających kryteria"
"Free Shipping","Darmowa dostawa"
"From Date","Od daty"
"General Information","Informacje ogólne"
"Generate","Wygeneruj"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Jeśli %s %s %s dla wyboru produktów w koszyku pasujących do %s z tych warunków:"
"If an item is %s in the cart with %s of these conditions true:","Jeśli produkt jest %s w koszyku z %s z tych warunków dających prawda:"
"If empty no separation.","Brak oddzielenia jeśli puste."
"If you select and save the rule you will be able to generate multiple coupon codes.","Jeśli wybierzesz i zapiszesz regułę, możesz wygenerować wiele kodów kuponów."
"Inactive","Nieaktywny"
"Item totals are not set for rule.","Ilości produktów nie są ustawione dla reguły."
"Labels","Etykiety"
"Manage Coupon Codes","Zarządzaj kodami kuponów"
"Maximum Qty Discount is Applied To","Maksymalna zniżka ilościowa jest stosowana dla"
"NOT FOUND","NIE ZNALEZIONO"
"NOT LOGGED IN","NIE ZALOGOWANY"
"New Rule","Nowa reguła"
"No","Nie"
"No Coupon","Nie"
"Not valid data provided","Dostarczone dane są nieprawidłowe"
"Number of Uses","Ilość zastosowań"
"Numeric","Numeryczny"
"Payment Method","Forma płatności"
"Percent of product price discount","Procent zniżki dla ceny produktu"
"Period","Okres"
"Price in cart","Cena w koszyku"
"Priority","Priorytet"
"Product attribute combination","Kombinacja cech produktu"
"Products subselection","Podwybór produktów"
"Promotions","Promocje"
"Public In RSS Feed","Publiczne w kanale RSS"
"Quantity in cart","Ilość w koszyku"
"Row total in cart","Ilość wierszy w koszyku"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Rule is not defined","Reguła nie jest zdefiniowana"
"Sales Discount Amount","Wielkość zniżki"
"Sales Subtotal Amount","Wielkość sumy częściowej"
"Sales Total Amount","Wielkość sumy"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Shipping Country","Kraj dostawy"
"Shipping Method","Metoda dostawy"
"Shipping Postcode","Kod pocztowy dostawy"
"Shipping Region","Region dostawy"
"Shipping State/Province","Województwo dostawy"
"Shopping Cart Price Rule","Reguła ceny koszyka"
"Shopping Cart Price Rules","Reguły cenowe koszyka"
"Special Price","Nasza cena"
"Specific Coupon","Wybrany kupon"
"Status","Status"
"Stop Further Rules Processing","Zaniechaj przetwarzania kolejnych reguł"
"Store View Specific Labels","Etykiey specyficzne dla widoku sklepu"
"Subtotal","Suma częściowa"
"Subtotal Amount","Wartość podsumy"
"The rule has been deleted.","Reguła została usunięta."
"The rule has been saved.","Reguła została zapisana."
"This rule no longer exists.","Ta reguła już nie istnieje."
"Times Used","Ilość zastosowań"
"To Date","Do daty"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Total","Razem"
"Total Amount","Łączna wartość"
"Total Items Quantity","Łączna ilość produktów"
"Total Weight","Łączna waga"
"Unable to create requested Coupon Qty. Please check settings and try again.","Nie można utworzyć oczekiwanej ilości kuponów. Sprawdź ustawienia i spróbój jeszcze raz."
"Unable to find a rule to delete.","Nie można znaleźć reguły do usunięcia."
"Update prices using the following information","Zaktualizuj ceny używając następujących informacji"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Update the Product","Aktualizuj produkt"
"Use Auto Generation","Użyj automatycznej generacji"
"Used","Wykorzystane"
"Uses per Coupon","Zastosowania wg kuponów"
"Uses per Customer","Zastosowania wg klientów"
"Website","Witryna"
"Websites","Witryny"
"Wrong rule specified.","Wybrano nieprawidłową regułę."
"Yes","Tak"
"total amount","łączna wartość"
"total quantity","łączna ilość"
